Red Social,Cuenta,Visualizaciones,Cantidad de videos publicados,Mes anterior
TikTok,adn.buena.salud,"35,3K",54,24
TikTok,sacle.ok,"1,1M",55,24
TikTok,medicos.clips,"221,9K",54,23
TikTok,suplementosunicos,"46,6K",55,25
TikTok,medicosconsultores,"8,1K",48,25
TikTok,EnFocoSalud,,,
TikTok,medicos.ar,,,
TikTok,ampkprotein,"6,9K",12,34
Instagram,adnbuenasalud,"53,9K",29,25
Instagram,sacle.ar,2.7M,56,52
Instagram,medicos.clips,53.9K,27,26
Instagram,supleunico.ar,13.1K,38,33
Instagram,medicosconsultores,445K,39,28
Instagram,EnFocoSalud,116K,35,23
Instagram,EspecialistasSalud (Nueva),280,3,-
Instagram,ampkprotein,886K,24,32
Instagram,Satialfood,191K,8,8
Instagram,Capskrill,"65,7K",8,8
Instagram,Digecaps,"17,1K",10,10
Instagram,Goodskinfs,84K,11,18
Instagram,nutri100ok,305K,7,6
Instagram,framinghampharma,178K,19,23
Instagram,@floragutprobioticos,542K,10,13
Instagram,@telomerinanad,450K,10,12
Instagram,@Vitamet.ok,116K,11,13
