Fecha,Producto,Profesional,Programa,Conductor,Editado,Tomado,Tipo,Salida Real,,Valor Programa,Valor Apoyo
01/06/2026,Metasitol,Gabriel Lapman,Con Carmen,Carmen Barbieri ,Lukas,TRUE,NOTA,0,, $1.178.100, $120.000
01/06/2026,Telomerina,Gabriel Lapman,Los profesionales con Flor,Florencia de la V,Lukas,TRUE,NOTA,5,, $1.285.200, $120.000
01/06/2026,Serrapep,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,0,, $1.000.000, $120.000
01/06/2026,Serrapep,,BTV,Pachu,,TRUE,PNT,0,, $1.000.000,
02/06/2026,Telomerina,Yanina Latorre,SQP ,Yanina Latorre ,Juli,TRUE,PNT,0,, $800.000,
02/06/2026,Vitamet,Micaela Olivares,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,0,, $1.800.000, $70.000
02/06/2026,Vitamet,Gabriel Lapman,La mañana de Moria ,Moria Casan,Juli,TRUE,NOTA,5,, $1.700.000, $120.000
02/06/2026,Serrapep,Karina Ramírez,Las mañanas con Andino ,Guillermo Andino ,Juli,TRUE,NOTA,0,, $250.000, $70.000
02/06/2026,Menacor,Gabriel Lapman,La Cocina Rebelde,Jimena Monteverde,Lukas,TRUE,NOTA,0,, $1.350.000, $120.000
02/06/2026,Telomerina,Gabriel Lapman,SQP ,Yanina Latorre ,Juli,TRUE,PNT,0,, $800.000, $120.000
03/06/2026,Telomerina,Gabriel Lapman,Las mañanas con Andino ,Guillermo Andino ,Lukas,TRUE,NOTA,0,, $250.000, $120.000
03/06/2026,Metasitol,Evangelina Cueto,Todo Cocinado,Rocío Marengo,Juli,TRUE,NOTA,0,, $1.000.000, $70.000
04/06/2026,Capskrill,Gabriel Lapman,Las mañanas con Andino ,Guillermo Andino ,Lukas,TRUE,NOTA,0,, $250.000, $120.000
04/06/2026,Goodskin,,DDM,Mariana Fabbiani ,Juli,TRUE,PNT,0,, $700.000,
04/06/2026,Vitamet,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,5,, $1.000.000, $120.000
05/06/2026,Daozima,Gabriel Lapman,TL 9 al Amanecer ,,Lukas,TRUE,NOTA,0,, $771.120, $120.000
05/06/2026,Telomerina,Gabriel Lapman,Desayuno Americano,Pamela David,Juli,TRUE,NOTA,0,, $1.800.000, $120.000
05/06/2026,Digecaps,Gabriel Lapman,TL 9 al Mediodia,,Juli,TRUE,NOTA,0,, $1.568.700, $120.000
05/06/2026,Satial Food,,LAM,Denis Dumas,,FALSE,PNT,0,, $1.000.000,
06/06/2026,Creatina HCL,Gabriel Lapman,Nara que ver ,Nara Ferragut ,Lukas,TRUE,NOTA,0,, $567.630, $120.000
07/06/2026,Menacor,Gabriel Lapman,Implacables,Susana Roccasalvo,Juli,TRUE,NOTA,0,, $749.700, $120.000
08/06/2026,Vitamet,Gabriel Lapman,Lape Club Social,Sergio Lapegüe,Juli,TRUE,NOTA,5,, $1.800.000, $120.000
08/06/2026,Creatina HCL,Gabriel Lapman,Con Carmen,Carmen Barbieri ,Juli,TRUE,NOTA,5,, $1.178.100, $120.000
08/06/2026,Daozima,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,0,, $1.000.000, $120.000
09/06/2026,Floragut,Micaela Olivares,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,0,, $1.800.000, $70.000
09/06/2026,Menacor,Gabriel Lapman,La mañana de Moria ,Moria Casan,Lukas,TRUE,NOTA,0,, $1.700.000, $120.000
