Cuenta,Handle,Categoria,Gasto_ARS,Alcance,Impresiones,Clicks,CTR (%),CPC ($),CPM ($),N_Campanas,IG_Account_ID
Dr. Milton Dan,drmiltondan,Profesionales,2049595.4000000001,575670,763970,18400,2.41,111.39,2682.82,6,17841403905644538
ADN Buena Salud,adnbuenasalud,Institucional,1557836.3800000004,481522,628353,15677,2.49,99.37,2479.24,7,17841469123152609
Sacle,sacle.ar,Profesionales,1055401.94,264090,332451,23869,7.18,44.22,3174.61,8,17841458391815608
Endocrinólogo,endocrinologo,Profesionales,816731.5000000001,373073,458914,26960,5.87,30.29,1779.7,9,17841401017522280
Delfizi Nutrición,delfizi.nutricion,Profesionales,551440.05,231672,336634,10136,3.01,54.4,1638.1,4,17841403067085936
Farmaland,farmaland.ok,Institucional,466115.81999999995,401670,518766,27465,5.29,16.97,898.51,5,17841465923726732
Lapman Salud,lapmansalud,Profesionales,419551.91,221319,282316,9678,3.43,43.35,1486.11,1,17841404251522121
Ampkok,ampkok,Producto,400947.16000000003,230412,313038,12055,3.85,33.26,1280.83,7,17841473314637643
Framingham Pharma,framinghampharma,Institucional,271250.88999999996,112917,146545,8386,5.72,32.35,1850.97,5,17841448453771964
Metasitol,metasitol,Producto,269661.38,112416,135882,4394,3.23,61.37,1984.53,3,17841406720712882
Nutri 100,nutri100ok,Producto,233193.53,41006,54248,1529,2.82,152.51,4298.66,2,17841448342738548
Vitamet,vitamet.ok,Producto,200260.8,103906,137257,9074,6.61,22.07,1459.02,2,17841480522983925
Lic. Mariana Kersz,lic.marianakersz,Profesionales,199828.07,44914,61642,1473,2.39,135.66,3241.75,1,17841405626026301
Médicos Consultores,medicosconsultores,Profesionales,188719.34000000003,39365,55428,1890,3.41,99.85,3404.77,2,17841405819837406
Floragut,floragut.ok,Producto,184505.92,60218,78912,3398,4.31,54.3,2338.12,4,17841480633888543
Satial,satial,Producto,110684.78,28160,33543,916,2.73,120.83,3299.79,2,17841403677324034
Goodskin,goodskinfs,Producto,107856.5,37659,44637,1790,4.01,60.26,2416.3,3,17841448332230126
Sin asignar,,Sin asignar,90892.2,25101,30346,794,2.62,114.47,2995.2,2,
Telomerina NAD+,telomerina.ok,Producto,52892.399999999994,15114,18975,498,2.62,106.21,2787.48,2,17841480683686013
