Red Social,Cuenta,Visualizaciones periodo actual,Visualizaciones periodo anterior,Cantidad de videos publicados,Publicados mes anterior,Videos con más alcance,Enlace
TikTok,adn.buena.salud,"35,9K","35,3K",56,54,,https://www.tiktok.com/@adn.buena.salud/video/7641312431393770772  https://www.tiktok.com/@adn.buena.salud/video/7647215412773604628   https://www.tiktok.com/@adn.buena.salud/video/7657936890854690068
TikTok,sacle.ok,560.9k,"1,1M",56,55,,https://www.tiktok.com/@sacle.ok/video/7657597588778044692   https://www.tiktok.com/@sacle.ok/video/7657582952657816852    
TikTok,medicos.clips,"753,4K","221,9K",42,54,,https://www.tiktok.com/@medicos.clips/video/7654617192151010580  https://www.tiktok.com/@medicos.clips/video/7657245729433341204   https://www.tiktok.com/@medicos.clips/video/7657243534977813781
TikTok,suplementosunicos,"39,4K","46,6K",53,55,,https://www.tiktok.com/@suplementosunicos/video/7657635827643714836  https://www.tiktok.com/@suplementosunicos/video/7641294878898588949   
TikTok,medicosconsultores,7K,"8,1K",19,48,,https://www.tiktok.com/@medicosconsultores/video/7633877070698859796  https://www.tiktok.com/@medicosconsultores/video/7634243773173665045  https://www.tiktok.com/@medicosconsultores/video/7665740503576595732
TikTok,EnFocoSalud,,,,,,
TikTok,medicos.ar,,,,,,
TikTok,ampkprotein,2.5K,"6,9K",16,12,,https://www.tiktok.com/@ampkprotein/video/7667949066969517333  https://www.tiktok.com/@ampkprotein/video/7667949059402976532  https://www.tiktok.com/@ampkprotein/video/7667951120576171285
Instagram,adnbuenasalud,561K,"53,9K",48,29,,https://www.instagram.com/adnbuenasalud/reel/DbTn1RIBBCJ/  https://www.instagram.com/adnbuenasalud/reel/Da6WI3bBEn7/  https://www.instagram.com/adnbuenasalud/reel/DaQ-iHEBNYy/
Instagram,sacle.ar,"1,6M","2,7M",62,56,,https://www.instagram.com/p/Da1C37uB6cc/  https://www.instagram.com/sacle.ar/reel/DbTdb0ohUBW/ https://www.instagram.com/sacle.ar/reel/DaXzvjihnAR/
Instagram,medicos.clips,97K,"53,9K",37,27,,https://www.instagram.com/medicos.clips/reel/DanKKAqBY_6/ https://www.instagram.com/lapmansalud/reel/DaNvdSjORWZ/  https://www.instagram.com/lapmansalud/reel/DaP0ooBxzJS/ 
Instagram,supleunico.ar,"19,1K","13,1K",52,38,,https://www.instagram.com/p/DaiQDEdh_Kh/   https://www.instagram.com/supleunico.ar/reel/DavgsV0hnz2/   https://www.instagram.com/supleunico.ar/reel/Da8q-OPhR9E/
Instagram,medicosconsultores,"108,8K",445K,49,39,,https://www.instagram.com/medicosconsultores/reel/DaX4T3WJFuV/  https://www.instagram.com/medicosconsultores/reel/DZ-waehJYQ2/  https://www.instagram.com/medicosconsultores/reel/DadFWGDB_gs/
Instagram,EnFocoSalud,"46,8K",116K,62,35,,https://www.instagram.com/enfocosalud.ok/reel/Da0gVLIxBDs/  https://www.instagram.com/enfocosalud.ok/reel/DavgIHEhj_u/  https://www.instagram.com/enfocosalud.ok/reel/DabmVZmh4Le/
Instagram,EspecialistasSalud (Nueva),"1,8k",280,13,3,,https://www.instagram.com/especialistassalud/reel/DaiOddFtG6K/  https://www.instagram.com/especialistassalud/reel/DayXuATN0Sr/  https://www.instagram.com/especialistassalud/reel/DbBBuvUNe6S/
