Red Social,Cuenta,Visualizaciones,Cantidad de videos publicados,Mes anterior,Link del video
TikTok,adn.buena.salud,"35,3K",54,24,"https://www.tiktok.com/@adn.buena.salud/video/7649388922216172821
https://www.tiktok.com/@adn.buena.salud/video/7649390931543624980
https://www.tiktok.com/@adn.buena.salud/video/7652081508987014420"
TikTok,sacle.ok,"1,1M",55,24,"https://www.tiktok.com/@sacle.ok/video/7647900379476249877
https://www.tiktok.com/@sacle.ok/video/7647898786030734613
https://www.tiktok.com/@sacle.ok/video/7642719972338191637"
TikTok,medicos.clips,"221,9K",54,23,"https://www.tiktok.com/@medicos.clips/video/7641696309573078292
https://www.tiktok.com/@medicos.clips/video/7644990904532602132
https://www.tiktok.com/@medicos.clips/video/7641698822934088981"
TikTok,suplementosunicos,"46,6K",55,25,"https://www.tiktok.com/@suplementosunicos/video/7652087607404367125
https://www.tiktok.com/@suplementosunicos/video/7601156556784192789
https://www.tiktok.com/@suplementosunicos/video/7641294878898588949"
TikTok,medicosconsultores,"8,1K",48,25,"https://www.tiktok.com/@medicosconsultores/video/7636395538300046612
https://www.tiktok.com/@medicosconsultores/video/7634243773173665045
https://www.tiktok.com/@medicosconsultores/video/7633877070698859796"
TikTok,EnFocoSalud,,,,
TikTok,medicos.ar,,,,
TikTok,ampkprotein,"6,9K",12,34,"https://www.tiktok.com/@ampkprotein/video/7592311705133190411
https://www.tiktok.com/@ampkprotein/video/7649868582033198356
"
Instagram,adnbuenasalud,"53,9K",29,25,"https://www.instagram.com/adnbuenasalud/reel/DZadkAYqhDa/
https://www.instagram.com/adnbuenasalud/reel/DZ04upmBSJu/
https://www.instagram.com/adnbuenasalud/reel/DZ4zY1oBo-O/"
Instagram,sacle.ar,"2,7M",56,52,"https://www.instagram.com/sacle.ar/reel/DZP7NmXDEiv/
https://www.instagram.com/sacle.ar/reel/DZDFgyrCdEE/
https://www.instagram.com/sacle.ar/reel/DZAjUKZjWPK/"
Instagram,medicos.clips,"53,9K",27,26,"https://www.instagram.com/p/DZ_GgbwOajC/
https://www.instagram.com/p/DZ43WgBOKDe/
https://www.instagram.com/p/DZ7nMxHuZ9r/
"
Instagram,supleunico.ar,"13,1K",38,33,"https://www.instagram.com/p/DZUpZ4OBToY/
https://www.instagram.com/p/DZdeoFDh2FZ/
https://www.instagram.com/p/DZz8uWphwFp/"
Instagram,medicosconsultores,445K,39,28,"https://www.instagram.com/p/DZVE3FHRLp9/
https://www.instagram.com/p/DZvh-4TJTMf/
https://www.instagram.com/p/DZ2dqZTOQ3O/"
Instagram,EnFocoSalud,116K,35,23,"https://www.instagram.com/p/DZm0F_qhg7S/
https://www.instagram.com/p/DZ8MtXcBe12/
https://www.instagram.com/p/DZqzxUeB579/
"
Instagram,EspecialistasSalud (Nueva),280,3,-,-
Instagram,ampkprotein,886K,24,32,"https://www.instagram.com/p/DZuo6x5C4iX/
https://www.instagram.com/p/DZatRtul3TI/
https://www.instagram.com/p/DZp2neYjY3N/"
Instagram,Satialfood,191K,8,8,"https://www.instagram.com/satialfood/reel/DZfvlC7FXCn/
https://www.instagram.com/satialfood/reel/DZqIaX2CGU8/
https://www.instagram.com/satialfood/reel/DY0NfV9FN_n/"
Instagram,Capskrill,"65,7K",8,8,"https://www.instagram.com/framinghampharma/reel/DY405ueDUh1/
https://www.instagram.com/capskrillok/reel/DZNt-LajLKO/
https://www.instagram.com/capskrillok/reel/DZxnH0fCUdZ/"
Instagram,Digecaps,"17,1K",10,10,"https://www.instagram.com/digecaps/reel/DZpwmIFjC3R/
https://www.instagram.com/framinghampharma/p/DZFng5vja_J/
https://www.instagram.com/framinghampharma/reel/DY7PC_xgAzi/"
Instagram,Goodskinfs,84K,11,18,"https://www.instagram.com/goodskinfs/reel/DY7RhxUE05w/
https://www.instagram.com/dra.karinayanet/reel/DZVt9HOx4nD/
https://www.instagram.com/goodskinfs/p/DZpzyL4EcdH/"
Instagram,nutri100ok,305K,7,6,"https://www.instagram.com/nutri100ok/reel/DZaQk27CQtd/
https://www.instagram.com/nutri100ok/reel/DZIj8m4jNsu/
https://www.instagram.com/nutri100ok/reel/DZx8g7Dkr-i/"
Instagram,framinghampharma,178K,19,23,"https://www.instagram.com/nutricionintegral.av/reel/DZ8ehguBapw/
https://www.instagram.com/framinghampharma/reel/DZf_SHLkqgP/
https://www.instagram.com/framinghampharma/p/DZDDjowkVTG/"
Instagram,floragutprobioticos,542K,10,13,"https://www.instagram.com/p/DZLEL40jE46/?img_index=1
https://www.instagram.com/p/DZdJDgugRbw/
https://www.instagram.com/p/DZXza1XEa6C/"
Instagram,telomerinanad,450K,10,12,"https://www.instagram.com/p/DZfhqvVjVBs/
https://www.instagram.com/p/DZIM9RADPXc/
https://www.instagram.com/p/DZXzKMBkeH9/"
Instagram,Vitamet.ok,116K,11,13,"https://www.instagram.com/vitamet.ok/reel/DaAr2l1lPAG/
https://www.instagram.com/vitamet.ok/p/DZdMKIbCrGO/
https://www.instagram.com/vitamet.ok/reel/DZN-5Q3glP8/"
