Cuenta,Handle,Categoria,Gasto_ARS,Alcance,Impresiones,Clicks,CTR (%),CPC ($),CPM ($),N_Campanas,IG_Account_ID
Endocrinólogo,endocrinologo,Profesionales,1272911.0199999998,190017,293875,26483,9.01,48.07,4331.47,3,17841401017522280
Farmaland,farmaland.ok,Institucional,664067.8200000001,375052,499211,37813,7.57,17.56,1330.23,2,17841465923726732
Dr. Milton Dan,drmiltondan,Profesionales,629124.54,329577,441064,16281,3.69,38.64,1426.38,2,17841403905644538
Framingham Pharma,framinghampharma,Institucional,606553.0099999999,174932,246484,12561,5.1,48.29,2460.82,11,17841448453771964
Sin asignar,,Sin asignar,565568.92,194772,244142,17076,6.99,33.12,2316.56,12,
Goodskin,goodskinfs,Producto,541104.87,169440,223808,9993,4.46,54.15,2417.72,8,17841448332230126
ADN Buena Salud,adnbuenasalud,Institucional,511000.92,150041,190538,8225,4.32,62.13,2681.88,7,17841469123152609
Micaela Olivares,micaelaolivares,Profesionales,310954.76,94503,132194,5589,4.23,55.64,2352.26,4,17841438777895142
Vitamet,vitamet.ok,Producto,232663.62,28506,42301,1155,2.73,201.44,5500.19,2,17841480522983925
Telomerina NAD+,telomerina.ok,Producto,177275.59000000003,45439,58543,2843,4.86,62.36,3028.13,3,17841480683686013
Evangelina Cueto,evangelinacueto,Profesionales,152304.36,57443,69871,3809,5.45,39.99,2179.79,2,17841404174511555
Ampkok,ampkok,Producto,138560.04,65756,93718,6294,6.72,22.01,1478.48,2,17841473314637643
Metasitol,metasitol,Producto,134492.76,52040,72781,3130,4.3,42.97,1847.91,2,17841406720712882
Delfizi Nutrición,delfizi.nutricion,Profesionales,110306.34,57556,72161,2079,2.88,53.06,1528.61,1,17841403067085936
Sacle,sacle.ar,Profesionales,40543.02,38155,45477,5240,11.52,7.74,891.51,1,17841458391815608
