Cuenta,Handle,Categoria,Gasto_ARS,Alcance,Impresiones,Clicks,CTR (%),CPC ($),CPM ($),N_Campanas,IG_Account_ID
Endocrinólogo,endocrinologo,Profesionales,1172581.21,160231,247349,21161,8.56,55.41,4740.59,3,17841401017522280
Farmaland,farmaland.ok,Institucional,664067.8200000001,375052,499211,37813,7.57,17.56,1330.23,2,17841465923726732
Framingham Pharma,framinghampharma,Institucional,602488.95,162933,232247,11560,4.98,52.12,2594.17,8,17841448453771964
Goodskin,goodskinfs,Producto,443777.07999999996,135290,177618,7219,4.06,61.47,2498.49,6,17841448332230126
Sin asignar,,Sin asignar,442574.59,133519,169917,10193,6.0,43.42,2604.65,7,
Metasitol,metasitol,Producto,389586.22,183806,230821,8352,3.62,46.65,1687.83,6,17841406720712882
Telomerina NAD+,telomerina.ok,Producto,310365.37,83573,108173,5203,4.81,59.65,2869.16,5,17841480683686013
Micaela Olivares,micaelaolivares,Profesionales,285754.6,84450,116586,4376,3.75,65.3,2451.02,5,17841438777895142
Dr. Milton Dan,drmiltondan,Profesionales,285562.52,162990,204967,7552,3.68,37.81,1393.21,2,17841403905644538
Vitamet,vitamet.ok,Producto,234135.04,28641,42771,1160,2.71,201.84,5474.15,2,17841480522983925
Evangelina Cueto,evangelinacueto,Profesionales,203123.33,71061,89505,4538,5.07,44.76,2269.41,3,17841404174511555
ADN Buena Salud,adnbuenasalud,Institucional,182874.45,58987,73238,1689,2.31,108.27,2496.99,6,17841469123152609
Ampkok,ampkok,Producto,138560.04,65756,93718,6294,6.72,22.01,1478.48,2,17841473314637643
Sacle,sacle.ar,Profesionales,56564.46,25775,29348,2960,10.09,19.11,1927.37,1,17841458391815608
Médicos Consultores,medicosconsultores,Profesionales,53581.509999999995,10408,11955,563,4.71,95.17,4481.93,2,17841405819837406
Digecaps,digecaps,Producto,35907.55,3460,3684,148,4.02,242.62,9746.89,2,17841448165255748
Andrea Purita,andrea.purita,Profesionales,23849.33,10597,12224,1092,8.93,21.84,1951.03,1,17841403115192801
Nutri 100,nutri100ok,Producto,14748.99,1666,1865,61,3.27,241.79,7908.31,1,17841448342738548
